{'Iteration': 0, 'Final Solution': None}
{'Iteration': 190, 'Final Solution': '12'}
{'Iteration': 191, 'Final Solution': None}
{'Iteration': 192, 'Final Solution': '41'}
{'Iteration': 193, 'Final Solution': None}
{'Iteration': 194, 'Final Solution': None}
{'Iteration': 195, 'Final Solution': None}
{'Iteration': 196, 'Final Solution': None}
{'Iteration': 197, 'Final Solution': '1'}
{'Iteration': 198, 'Final Solution': '-7'}
{'Iteration': 199, 'Final Solution': '-7'}
{'Iteration': 200, 'Final Solution': None}
{'Iteration': 201, 'Final Solution': None}
{'Iteration': 202, 'Final Solution': '-3,3'}
{'Iteration': 203, 'Final Solution': '45'}
{'Iteration': 204, 'Final Solution': '8'}
{'Iteration': 205, 'Final Solution': None}
{'Iteration': 206, 'Final Solution': '625'}
{'Iteration': 207, 'Final Solution': None}
{'Iteration': 208, 'Final Solution': None}
{'Iteration': 209, 'Final Solution': None}
{'Iteration': 210, 'Final Solution': None}
{'Iteration': 211, 'Final Solution': '2'}
{'Iteration': 212, 'Final Solution': '400'}
{'Iteration': 213, 'Final Solution': None}
{'Iteration': 214, 'Final Solution': '\\dfrac{5'}
{'Iteration': 215, 'Final Solution': '0'}
{'Iteration': 216, 'Final Solution': '1'}
{'Iteration': 217, 'Final Solution': '6'}
{'Iteration': 218, 'Final Solution': None}
{'Iteration': 219, 'Final Solution': '-4'}
{'Iteration': 220, 'Final Solution': None}
{'Iteration': 221, 'Final Solution': None}
{'Iteration': 222, 'Final Solution': None}
{'Iteration': 223, 'Final Solution': None}
{'Iteration': 224, 'Final Solution': '20\\sqrt{5'}
{'Iteration': 225, 'Final Solution': '1'}
{'Iteration': 226, 'Final Solution': '\\frac{17'}
{'Iteration': 227, 'Final Solution': '7'}
{'Iteration': 228, 'Final Solution': None}
{'Iteration': 229, 'Final Solution': None}
{'Iteration': 230, 'Final Solution': '7'}
{'Iteration': 231, 'Final Solution': '-1+4=\\boxed{3'}
{'Iteration': 232, 'Final Solution': '169 \\sqrt[3]{13'}
{'Iteration': 233, 'Final Solution': '0'}
{'Iteration': 234, 'Final Solution': None}
{'Iteration': 235, 'Final Solution': '4'}
{'Iteration': 236, 'Final Solution': '100'}
{'Iteration': 237, 'Final Solution': '5050'}
{'Iteration': 238, 'Final Solution': None}
{'Iteration': 239, 'Final Solution': None}
{'Iteration': 240, 'Final Solution': None}
{'Iteration': 241, 'Final Solution': None}
{'Iteration': 242, 'Final Solution': None}
{'Iteration': 243, 'Final Solution': '\\frac{\\sqrt{3'}
{'Iteration': 244, 'Final Solution': None}
{'Iteration': 245, 'Final Solution': None}
{'Iteration': 246, 'Final Solution': '\\frac{135'}
{'Iteration': 247, 'Final Solution': '1'}
{'Iteration': 248, 'Final Solution': None}
{'Iteration': 249, 'Final Solution': '-8'}
{'Iteration': 250, 'Final Solution': '11'}
{'Iteration': 251, 'Final Solution': '-8/5'}
{'Iteration': 252, 'Final Solution': '43'}
{'Iteration': 253, 'Final Solution': '5'}
{'Iteration': 254, 'Final Solution': '220'}
{'Iteration': 255, 'Final Solution': None}
{'Iteration': 256, 'Final Solution': None}
{'Iteration': 257, 'Final Solution': None}
{'Iteration': 258, 'Final Solution': '364'}
{'Iteration': 259, 'Final Solution': '\\$5000'}
{'Iteration': 260, 'Final Solution': None}
{'Iteration': 261, 'Final Solution': '\\frac{7'}
{'Iteration': 262, 'Final Solution': '2'}
{'Iteration': 263, 'Final Solution': None}
{'Iteration': 264, 'Final Solution': '81'}
{'Iteration': 265, 'Final Solution': None}
{'Iteration': 266, 'Final Solution': '29'}
{'Iteration': 267, 'Final Solution': '1.5'}
{'Iteration': 268, 'Final Solution': None}
{'Iteration': 269, 'Final Solution': '14'}
{'Iteration': 270, 'Final Solution': None}
{'Iteration': 271, 'Final Solution': '8'}
{'Iteration': 272, 'Final Solution': '90'}
{'Iteration': 273, 'Final Solution': '4'}
{'Iteration': 274, 'Final Solution': '\\frac{9+x^2'}
{'Iteration': 275, 'Final Solution': '-2'}
{'Iteration': 276, 'Final Solution': None}
{'Iteration': 277, 'Final Solution': None}
{'Iteration': 278, 'Final Solution': '5'}
{'Iteration': 279, 'Final Solution': '6'}
{'Iteration': 280, 'Final Solution': None}
{'Iteration': 281, 'Final Solution': None}
{'Iteration': 282, 'Final Solution': None}
{'Iteration': 283, 'Final Solution': None}
{'Iteration': 284, 'Final Solution': None}
{'Iteration': 285, 'Final Solution': None}
{'Iteration': 286, 'Final Solution': '141'}
{'Iteration': 287, 'Final Solution': '7'}
{'Iteration': 288, 'Final Solution': None}
{'Iteration': 289, 'Final Solution': None}
{'Iteration': 290, 'Final Solution': '1'}
{'Iteration': 291, 'Final Solution': None}
{'Iteration': 292, 'Final Solution': '37'}
{'Iteration': 293, 'Final Solution': None}
{'Iteration': 294, 'Final Solution': '15'}
{'Iteration': 295, 'Final Solution': None}
{'Iteration': 296, 'Final Solution': None}
{'Iteration': 297, 'Final Solution': None}
{'Iteration': 298, 'Final Solution': '5'}
{'Iteration': 299, 'Final Solution': '3'}
{'Iteration': 300, 'Final Solution': '28'}
{'Iteration': 301, 'Final Solution': '800'}
{'Iteration': 302, 'Final Solution': None}
{'Iteration': 303, 'Final Solution': 'x^{10'}
{'Iteration': 304, 'Final Solution': '-4'}
{'Iteration': 305, 'Final Solution': None}
{'Iteration': 306, 'Final Solution': None}
{'Iteration': 307, 'Final Solution': None}
{'Iteration': 308, 'Final Solution': None}
{'Iteration': 309, 'Final Solution': '(6-2x)(6+2x)'}
{'Iteration': 310, 'Final Solution': '(4,1)'}
{'Iteration': 311, 'Final Solution': '\\frac{11'}
{'Iteration': 312, 'Final Solution': '1'}
{'Iteration': 313, 'Final Solution': None}
{'Iteration': 314, 'Final Solution': '22'}
{'Iteration': 315, 'Final Solution': None}
{'Iteration': 316, 'Final Solution': '1'}
{'Iteration': 317, 'Final Solution': '-12'}
{'Iteration': 318, 'Final Solution': '\\pm7'}
{'Iteration': 319, 'Final Solution': None}
{'Iteration': 320, 'Final Solution': '11'}
{'Iteration': 321, 'Final Solution': '2'}
{'Iteration': 322, 'Final Solution': None}
{'Iteration': 323, 'Final Solution': '8'}
{'Iteration': 324, 'Final Solution': None}
{'Iteration': 325, 'Final Solution': '8'}
{'Iteration': 326, 'Final Solution': None}
{'Iteration': 327, 'Final Solution': '9'}
{'Iteration': 328, 'Final Solution': '9'}
{'Iteration': 329, 'Final Solution': '4\\cdot 5'}
{'Iteration': 330, 'Final Solution': '1078828'}
{'Iteration': 331, 'Final Solution': '\\frac{\\sqrt{6'}
{'Iteration': 332, 'Final Solution': None}
{'Iteration': 333, 'Final Solution': None}
{'Iteration': 334, 'Final Solution': '\\frac{4'}
{'Iteration': 335, 'Final Solution': None}
{'Iteration': 336, 'Final Solution': None}
{'Iteration': 337, 'Final Solution': None}
{'Iteration': 338, 'Final Solution': None}
{'Iteration': 339, 'Final Solution': None}
{'Iteration': 340, 'Final Solution': '3'}
{'Iteration': 341, 'Final Solution': None}
{'Iteration': 342, 'Final Solution': '0'}
{'Iteration': 343, 'Final Solution': None}
{'Iteration': 344, 'Final Solution': '10'}
{'Iteration': 345, 'Final Solution': '\\$12,\\!687.75'}
{'Iteration': 346, 'Final Solution': None}
{'Iteration': 347, 'Final Solution': 'x^3+2x^2+x'}
{'Iteration': 348, 'Final Solution': None}
{'Iteration': 349, 'Final Solution': None}
{'Iteration': 350, 'Final Solution': '0'}
{'Iteration': 351, 'Final Solution': '1.6'}
{'Iteration': 352, 'Final Solution': None}
{'Iteration': 353, 'Final Solution': None}
{'Iteration': 354, 'Final Solution': '-28'}
{'Iteration': 355, 'Final Solution': '-2'}
{'Iteration': 356, 'Final Solution': '10'}
{'Iteration': 357, 'Final Solution': None}
{'Iteration': 358, 'Final Solution': '-11'}
{'Iteration': 359, 'Final Solution': '120'}
{'Iteration': 360, 'Final Solution': '4'}
{'Iteration': 361, 'Final Solution': '12'}
{'Iteration': 362, 'Final Solution': '2'}
{'Iteration': 363, 'Final Solution': '3'}
{'Iteration': 364, 'Final Solution': '-4'}
{'Iteration': 365, 'Final Solution': '99939991'}
{'Iteration': 366, 'Final Solution': None}
{'Iteration': 367, 'Final Solution': None}
{'Iteration': 368, 'Final Solution': None}
{'Iteration': 369, 'Final Solution': '450'}
{'Iteration': 370, 'Final Solution': '1'}
{'Iteration': 371, 'Final Solution': '4'}
{'Iteration': 372, 'Final Solution': '200'}
{'Iteration': 373, 'Final Solution': '11'}
{'Iteration': 374, 'Final Solution': '-4'}
{'Iteration': 375, 'Final Solution': '1'}
{'Iteration': 376, 'Final Solution': '(-\\infty,-7) \\cup (-7,3) \\cup (3,\\infty)'}
{'Iteration': 377, 'Final Solution': '11'}
{'Iteration': 378, 'Final Solution': None}
{'Iteration': 379, 'Final Solution': None}
{'Iteration': 380, 'Final Solution': None}
{'Iteration': 381, 'Final Solution': None}
{'Iteration': 382, 'Final Solution': None}
{'Iteration': 383, 'Final Solution': '39\\pi'}
{'Iteration': 384, 'Final Solution': '21y+14'}
{'Iteration': 385, 'Final Solution': '50\\%'}
{'Iteration': 386, 'Final Solution': '-4'}
{'Iteration': 387, 'Final Solution': '20'}
{'Iteration': 388, 'Final Solution': None}
{'Iteration': 389, 'Final Solution': None}
{'Iteration': 390, 'Final Solution': None}
{'Iteration': 391, 'Final Solution': None}
{'Iteration': 392, 'Final Solution': None}
{'Iteration': 393, 'Final Solution': None}
{'Iteration': 394, 'Final Solution': '36'}
{'Iteration': 395, 'Final Solution': '-6'}
{'Iteration': 396, 'Final Solution': '7'}
{'Iteration': 397, 'Final Solution': None}
{'Iteration': 398, 'Final Solution': '4'}
{'Iteration': 399, 'Final Solution': '4'}
{'Iteration': 400, 'Final Solution': None}
{'Iteration': 401, 'Final Solution': '9'}
{'Iteration': 402, 'Final Solution': None}
{'Iteration': 403, 'Final Solution': '\\frac{4'}
{'Iteration': 404, 'Final Solution': '\\frac{1'}
{'Iteration': 405, 'Final Solution': '10\\sqrt{2'}
{'Iteration': 406, 'Final Solution': None}
{'Iteration': 407, 'Final Solution': None}
{'Iteration': 408, 'Final Solution': 'x^3+24x+27'}
{'Iteration': 409, 'Final Solution': None}
{'Iteration': 410, 'Final Solution': '2b'}
{'Iteration': 411, 'Final Solution': None}
{'Iteration': 412, 'Final Solution': '2x'}
{'Iteration': 413, 'Final Solution': None}
{'Iteration': 414, 'Final Solution': '1'}
{'Iteration': 415, 'Final Solution': '4'}
{'Iteration': 416, 'Final Solution': None}
{'Iteration': 417, 'Final Solution': '-8'}
{'Iteration': 418, 'Final Solution': '108\\ \\text{m'}
{'Iteration': 419, 'Final Solution': '-2x-3'}
{'Iteration': 420, 'Final Solution': '1'}
{'Iteration': 421, 'Final Solution': None}
{'Iteration': 422, 'Final Solution': None}
{'Iteration': 423, 'Final Solution': None}
{'Iteration': 424, 'Final Solution': None}
{'Iteration': 425, 'Final Solution': '12'}
{'Iteration': 426, 'Final Solution': '700'}
{'Iteration': 427, 'Final Solution': '10'}
{'Iteration': 428, 'Final Solution': None}
{'Iteration': 429, 'Final Solution': None}
{'Iteration': 430, 'Final Solution': '14'}
{'Iteration': 431, 'Final Solution': '4'}
{'Iteration': 432, 'Final Solution': '\\frac{12'}
{'Iteration': 433, 'Final Solution': '5'}
{'Iteration': 434, 'Final Solution': '-1'}
{'Iteration': 435, 'Final Solution': '2'}
{'Iteration': 436, 'Final Solution': '-4'}
{'Iteration': 437, 'Final Solution': '2710.71'}
{'Iteration': 438, 'Final Solution': '550'}
{'Iteration': 439, 'Final Solution': None}
{'Iteration': 440, 'Final Solution': '75'}
{'Iteration': 441, 'Final Solution': '12'}
{'Iteration': 442, 'Final Solution': '4'}
{'Iteration': 443, 'Final Solution': '121'}
{'Iteration': 444, 'Final Solution': '-192'}
{'Iteration': 445, 'Final Solution': None}
{'Iteration': 446, 'Final Solution': '0'}
{'Iteration': 447, 'Final Solution': None}
{'Iteration': 448, 'Final Solution': '1.4'}
{'Iteration': 449, 'Final Solution': None}
{'Iteration': 450, 'Final Solution': '13'}
{'Iteration': 451, 'Final Solution': '-1'}
{'Iteration': 452, 'Final Solution': None}
{'Iteration': 453, 'Final Solution': None}
{'Iteration': 454, 'Final Solution': '0'}
{'Iteration': 455, 'Final Solution': None}
{'Iteration': 456, 'Final Solution': '14'}
{'Iteration': 457, 'Final Solution': '-48'}
{'Iteration': 458, 'Final Solution': '\\frac{50'}
{'Iteration': 459, 'Final Solution': '-4'}
{'Iteration': 460, 'Final Solution': None}
{'Iteration': 461, 'Final Solution': None}
{'Iteration': 462, 'Final Solution': '\\frac{1'}
{'Iteration': 463, 'Final Solution': '-\\frac{5'}
{'Iteration': 464, 'Final Solution': None}
{'Iteration': 465, 'Final Solution': '8'}
{'Iteration': 466, 'Final Solution': None}
{'Iteration': 467, 'Final Solution': '8\\pi'}
{'Iteration': 468, 'Final Solution': None}
{'Iteration': 469, 'Final Solution': None}
{'Iteration': 470, 'Final Solution': None}
{'Iteration': 471, 'Final Solution': None}
{'Iteration': 472, 'Final Solution': '1120'}
{'Iteration': 473, 'Final Solution': '16'}
{'Iteration': 474, 'Final Solution': None}
{'Iteration': 475, 'Final Solution': None}
{'Iteration': 476, 'Final Solution': '1600'}
{'Iteration': 477, 'Final Solution': '12'}
{'Iteration': 478, 'Final Solution': None}
{'Iteration': 479, 'Final Solution': None}
{'Iteration': 480, 'Final Solution': None}
{'Iteration': 481, 'Final Solution': None}
{'Iteration': 482, 'Final Solution': None}
{'Iteration': 483, 'Final Solution': '48'}
{'Iteration': 484, 'Final Solution': None}
{'Iteration': 485, 'Final Solution': '13.33'}
{'Iteration': 486, 'Final Solution': '-6 \\cdot 6 = -36'}
{'Iteration': 487, 'Final Solution': None}
{'Iteration': 488, 'Final Solution': '3'}
{'Iteration': 489, 'Final Solution': None}
{'Iteration': 490, 'Final Solution': '12'}
{'Iteration': 491, 'Final Solution': '9'}
{'Iteration': 492, 'Final Solution': None}
{'Iteration': 493, 'Final Solution': '\\frac{1 + y'}
{'Iteration': 494, 'Final Solution': None}
{'Iteration': 495, 'Final Solution': None}
{'Iteration': 496, 'Final Solution': '3'}
{'Iteration': 497, 'Final Solution': None}
{'Iteration': 498, 'Final Solution': '20'}
{'Iteration': 499, 'Final Solution': None}
{'Iteration': 500, 'Final Solution': None}
{'Iteration': 501, 'Final Solution': '\\sqrt{65'}
{'Iteration': 502, 'Final Solution': '1020'}
{'Iteration': 503, 'Final Solution': '(-\\infty,3)\\cup(3,\\infty)'}
{'Iteration': 504, 'Final Solution': '(0,0)'}
{'Iteration': 505, 'Final Solution': None}
{'Iteration': 506, 'Final Solution': '81'}
{'Iteration': 507, 'Final Solution': '68'}
{'Iteration': 508, 'Final Solution': None}
{'Iteration': 509, 'Final Solution': None}
{'Iteration': 510, 'Final Solution': None}
{'Iteration': 511, 'Final Solution': '3-\\sqrt{6'}
{'Iteration': 512, 'Final Solution': None}
{'Iteration': 513, 'Final Solution': None}
{'Iteration': 514, 'Final Solution': None}
{'Iteration': 515, 'Final Solution': None}
{'Iteration': 516, 'Final Solution': '-1'}
{'Iteration': 517, 'Final Solution': '24'}
{'Iteration': 518, 'Final Solution': '-\\frac{1'}
{'Iteration': 519, 'Final Solution': '900'}
{'Iteration': 520, 'Final Solution': '-10u+24'}
{'Iteration': 521, 'Final Solution': '181'}
{'Iteration': 522, 'Final Solution': None}
{'Iteration': 523, 'Final Solution': '4'}
{'Iteration': 524, 'Final Solution': '\\frac{1'}
{'Iteration': 525, 'Final Solution': '10'}
{'Iteration': 526, 'Final Solution': None}
{'Iteration': 527, 'Final Solution': '35'}
{'Iteration': 528, 'Final Solution': '111'}
{'Iteration': 529, 'Final Solution': '10'}
{'Iteration': 530, 'Final Solution': None}
{'Iteration': 531, 'Final Solution': None}
{'Iteration': 532, 'Final Solution': None}
{'Iteration': 533, 'Final Solution': '8'}
{'Iteration': 534, 'Final Solution': '42'}
{'Iteration': 535, 'Final Solution': None}
{'Iteration': 536, 'Final Solution': '-\\frac{2'}
{'Iteration': 537, 'Final Solution': None}
{'Iteration': 538, 'Final Solution': '2'}
{'Iteration': 539, 'Final Solution': '-9'}
{'Iteration': 540, 'Final Solution': None}
{'Iteration': 541, 'Final Solution': None}
{'Iteration': 542, 'Final Solution': None}
{'Iteration': 543, 'Final Solution': None}
{'Iteration': 544, 'Final Solution': '13'}
{'Iteration': 545, 'Final Solution': None}
{'Iteration': 546, 'Final Solution': '4'}
{'Iteration': 547, 'Final Solution': None}
{'Iteration': 548, 'Final Solution': '9 - 2'}
{'Iteration': 549, 'Final Solution': None}
{'Iteration': 550, 'Final Solution': None}
{'Iteration': 551, 'Final Solution': None}
{'Iteration': 552, 'Final Solution': '\\frac{16'}
{'Iteration': 553, 'Final Solution': '(-6,7)'}
{'Iteration': 554, 'Final Solution': '2'}
{'Iteration': 555, 'Final Solution': '9'}
{'Iteration': 556, 'Final Solution': None}
{'Iteration': 557, 'Final Solution': None}
{'Iteration': 558, 'Final Solution': '12'}
{'Iteration': 559, 'Final Solution': None}
{'Iteration': 560, 'Final Solution': None}
{'Iteration': 561, 'Final Solution': None}
{'Iteration': 562, 'Final Solution': None}
{'Iteration': 563, 'Final Solution': '2'}
{'Iteration': 564, 'Final Solution': '11'}
{'Iteration': 565, 'Final Solution': '85'}
{'Iteration': 566, 'Final Solution': None}
{'Iteration': 567, 'Final Solution': '44.6'}
{'Iteration': 568, 'Final Solution': None}
{'Iteration': 569, 'Final Solution': '-4,4'}
{'Iteration': 570, 'Final Solution': '998001'}
{'Iteration': 571, 'Final Solution': None}
{'Iteration': 572, 'Final Solution': None}
{'Iteration': 573, 'Final Solution': None}
{'Iteration': 574, 'Final Solution': '21a^5 - 7a^4 - 16a^3 + 32a'}
{'Iteration': 575, 'Final Solution': None}
{'Iteration': 576, 'Final Solution': None}
{'Iteration': 577, 'Final Solution': None}
{'Iteration': 578, 'Final Solution': '\\frac{1'}
{'Iteration': 579, 'Final Solution': '10'}
{'Iteration': 580, 'Final Solution': '2'}
{'Iteration': 581, 'Final Solution': '5'}
{'Iteration': 582, 'Final Solution': '-\\frac{125'}
{'Iteration': 583, 'Final Solution': '16'}
{'Iteration': 584, 'Final Solution': '4'}
{'Iteration': 585, 'Final Solution': '0'}
{'Iteration': 586, 'Final Solution': None}
{'Iteration': 587, 'Final Solution': '4'}
{'Iteration': 588, 'Final Solution': '\\frac{1'}
{'Iteration': 589, 'Final Solution': None}
{'Iteration': 590, 'Final Solution': '-2004'}
{'Iteration': 591, 'Final Solution': '180'}
{'Iteration': 592, 'Final Solution': None}
{'Iteration': 593, 'Final Solution': '13'}
{'Iteration': 594, 'Final Solution': None}
{'Iteration': 595, 'Final Solution': None}
{'Iteration': 596, 'Final Solution': '0'}
{'Iteration': 597, 'Final Solution': '19'}
{'Iteration': 598, 'Final Solution': None}
{'Iteration': 599, 'Final Solution': None}
{'Iteration': 600, 'Final Solution': None}
{'Iteration': 601, 'Final Solution': None}
{'Iteration': 602, 'Final Solution': '10'}
