Iteration,ID,Run_1
268,26898,5.2
269,25675,600
270,9397,30
271,24164,2
272,26340,Error Parsing Response
273,24404,2
274,24142,\\frac{3
275,26809,100
276,8487,Error Parsing Response
277,cee5b352,5
278,1628,Error Parsing Response
279,24743,12.5
280,11090,1200
281,11591,4
282,24325,Error Parsing Response
283,b8e73b5b,2240/280 = 8
284,10633,Error Parsing Response
285,4098,\\text{the shortest
286,15578,3
287,19510,\\$12
288,22775,150
289,21221,10
290,24745,63950
291,3527,120
292,6256,2
293,15497,24
294,25554,Error Parsing Response
295,5616,50
296,24609,Error Parsing Response
297,23683,3840
298,6042,Error Parsing Response
299,29831,5
300,9804,\\$5.00
301,697,3852
302,19738,2000
303,12477,74
304,26378,Error Parsing Response
305,21464,50
306,11730,\\$125
307,20599,80
308,14064,5
309,26710,24
310,10298,Error Parsing Response
311,18392,24
312,21013,5
313,23474,10
314,5550,24
315,16664,0
316,26789,37
317,8588,Error Parsing Response
318,18301,30
319,4861,\\text{Seulgi
320,8505,4
321,114,19
322,24211,\\frac{1
323,12912,\\text{Seunghwan
324,4904,Error Parsing Response
325,17565,\\$37800
326,2042,3.142
327,20259,\\frac{1
328,22326,4.125
329,12236,\\frac{1
330,2819,Error Parsing Response
331,16864,Error Parsing Response
332,9123,9
333,24145,0
334,12221,32
335,12927,19
336,19841,9.75
337,4158,Error Parsing Response
338,1405,3
339,21640,96
340,4918,3
341,21943,392
342,10547,2
343,10847,49
344,29812,8
345,16267,Error Parsing Response
346,27211,Error Parsing Response
347,2019,Error Parsing Response
348,26641,140
349,5417,11
350,26487,\\text{Seungah
351,634,Error Parsing Response
352,27720,"-"""
353,367,49
354,15984,30
355,18864,-36
356,38,Error Parsing Response
357,3556,1.4
358,19875,30
359,29172,11
360,29964,3000
361,2719,8
362,26860,Error Parsing Response
363,3266,300
364,24775,Error Parsing Response
365,25074,16
366,9371,Error Parsing Response
367,20632,35
368,15790,7
369,3658,Error Parsing Response
370,24960,\\frac{101
371,14710,9
372,28509,2
373,15237,3
374,8886,Error Parsing Response
375,21200,12
376,21307,6
377,24427,Error Parsing Response
378,26062,Error Parsing Response
379,12883,Error Parsing Response
380,24613,2\\frac{1
381,1241,\\text{yellow
382,-36139011399324794,0.2855
383,10841,\\frac{1
384,22663,5
385,7067,2
386,28692,80
387,12339,\\$34
388,3762,40
389,12659,\\$250
390,26483,1.2
391,2492,Error Parsing Response
392,18266,\\$15
393,29813,Error Parsing Response
394,6594,Error Parsing Response
395,7031,7.39
396,26996,67
397,18543,\\$1
398,25628,\\frac{1
399,18849,3
400,14079,600
401,28333,Error Parsing Response
402,6213,Error Parsing Response
403,23237,Error Parsing Response
404,27089,2
405,8779,\\$1.50
406,648,4.68\\text{ cm
407,29877,3
408,28594,Error Parsing Response
409,28935,51.5
410,28756,3120
411,3796,Error Parsing Response
412,3217,Error Parsing Response
413,453,81
414,4041,6
415,5739,Error Parsing Response
416,14263,Error Parsing Response
417,4652,24
418,7269,Error Parsing Response
419,20506,Error Parsing Response
420,14487,Error Parsing Response
421,3388,84
422,22252,0
423,25252,Error Parsing Response
424,26362,62
425,13558,Error Parsing Response
426,27721,21
427,9704,79
428,26978,Error Parsing Response
429,27817,\\$240
430,4066,120
431,25092,4
432,2111,48
433,2538392265939751438,\\frac{11
434,9854,6'
435,16925,36
436,6903,100
437,3363,1700
438,3568,1
439,25166,500
440,24406,3
441,947,90.5
442,6516,48
443,17835,47
444,14118,1200
445,6524,15
446,657,45
447,27564,Error Parsing Response
448,15916,Error Parsing Response
449,14632,Error Parsing Response
450,20841,\\$140
451,12672,4'
452,22947,5
453,27233,85
454,27584,"\\$9,400"
455,3756,18
456,1279,0.12
457,2208,8.4
458,21938,8500
459,27643,"\\$9,000"
460,10784,68
461,12609,Error Parsing Response
462,18028,7800
463,26946,Error Parsing Response
464,24089,Error Parsing Response
465,14974,Error Parsing Response
466,14330,3
467,28621,Error Parsing Response
468,23060,Error Parsing Response
469,18167,1
470,16414,Error Parsing Response
471,2085,13
472,23850,9
473,25801,12
474,18267,Error Parsing Response
475,14776,20
476,3570,Error Parsing Response
477,12703,Error Parsing Response
478,4717,31
479,7981525497452220909,3/4
480,4728,65
481,15238,3
482,4277,120
483,21347,Error Parsing Response
484,15743,3
485,16496,Error Parsing Response
486,22592,Error Parsing Response
487,7334,11
488,5038,72
489,10217,128
490,5504,\\text{B
491,22158,2500
492,13870,4
493,5855,10
494,1247,Error Parsing Response
495,7777,40
496,1150,9
497,2805,18
498,3168,\\text{8
499,24414,\\frac{1
500,28689,13
501,19576,36
502,591,10
503,7044,3
504,17990,16
505,15278,80
506,20636,\\frac{7
507,13202,26
508,23398,Error Parsing Response
509,8263,7
510,4233,Error Parsing Response
511,5574,5
512,10085,\\$133.33
513,30627,4
514,8330,5
515,21978,4
516,27968,Error Parsing Response
517,8274,80
518,4975,308
519,2892,1
520,7816,130
521,10581,Error Parsing Response
522,963,0.8
523,30749,8'
524,11315,7
525,28650,Error Parsing Response
526,21400,Error Parsing Response
527,30632,16
528,19071,29
529,30684,75
530,24728,22.5
531,29283,2
532,24779,120
533,9057,Error Parsing Response
534,16238,\\text{(A)
535,11118,20
536,18268,Error Parsing Response
537,28618,\\text{Yuna
538,1321,Error Parsing Response
539,13787,15
540,11007,8
541,13267,9
542,2320,\\text{Minhyun
543,22948,210
544,8270,Error Parsing Response
545,26699,15
546,4366,31
547,11668,7
548,15947,48
549,28706,Error Parsing Response
550,23533,9
551,17867,Error Parsing Response
552,353,Error Parsing Response
553,27194,130
554,22349,18
555,13521,Error Parsing Response
556,12144,96
557,1164,\\text{C
558,20717,20
559,20080,6
560,8777021366440509190,\\text{crayons
561,17331,100
562,13967,\\$10
563,30028,\\text{Dami
564,1240,Error Parsing Response
565,21220,15
566,16199,Error Parsing Response
567,24271,8
568,8092,Error Parsing Response
569,133,23
570,18427,3
571,26546,3
572,4332,22
573,20987,24
574,29681,"500,000"
575,24903,1
576,15956,48
577,21748,1.8
578,20429,20
579,1201554971288916638,420500
580,119,24
581,3309,3
582,23553,10
583,24882,Error Parsing Response
584,13508,3
585,4912,36
586,2498,194
587,2022,21
588,5905,Error Parsing Response
589,16831,2000
590,12277,Error Parsing Response
591,7849,3
592,1344,\\$26000
593,7742,Error Parsing Response
594,13447,Error Parsing Response
595,6668,Error Parsing Response
596,25563,70
597,3242,\\$20
598,24304,Error Parsing Response
599,2840,2460\\text{ g
600,17328,10
601,2084,3
602,23877,18
603,25098,Error Parsing Response
604,29038,3
605,17229,17
606,15921,22.5'
607,-7417880882159124946,Error Parsing Response
608,20197,Error Parsing Response
609,4935,385
610,001,60
611,24183,\\$100
612,6598,\\text{A
613,26681,12
614,17249,7
615,608eeb6e,"(5,-2)"
616,350,120
617,23867,-5
618,25360,6
619,4659,Error Parsing Response
620,28114,56
621,4447,17.7
622,11975,7.41
623,4836,Error Parsing Response
624,22156,\\$16
625,28723,Error Parsing Response
626,7587,125\\%
627,24994,4
628,13358,5
629,14897,200
630,20131,6
631,8970,60
632,10637,Error Parsing Response
633,6514,\\frac{1
634,22619,5
635,21377,Error Parsing Response
636,20211,17
637,17747,Error Parsing Response
638,21697,\\frac{1
639,15694,78
640,3578,\\text{Yuna
641,17806,24
642,27315,Error Parsing Response
643,7175,Error Parsing Response
644,10297,-184
645,3174,80
646,6570,5
647,30704,8
648,12532,15
649,16067,42
650,18701,12
651,27383,Error Parsing Response
652,15527,Error Parsing Response
653,6415,\\$'
654,13097,\\$45
655,17170,15
656,2952,Error Parsing Response
657,29585,47
658,17244,30
659,23830,80
660,20696,Error Parsing Response
661,30081,Error Parsing Response
662,9746,6
663,17285,Error Parsing Response
664,8895,500
665,23083,100
666,7566,126
667,17580,50
668,14607,Error Parsing Response
669,14654,18
670,27995,9.6
671,15998,5
672,8115,255
673,3908,44
674,20262,13
675,2775,Error Parsing Response
676,16887,Error Parsing Response
677,9319,Error Parsing Response
678,29718,Error Parsing Response
679,16894,Error Parsing Response
680,30222,Error Parsing Response
681,7078,\\$5.00
682,24014,\\$1
683,18924,2\\frac{1
684,18863,280
685,23919,10
686,17055,\\$10
687,20418,216.67
688,7901,6
689,8844,1350
690,21757,Error Parsing Response
691,-8057341273830630073,256
692,24639,10
693,27790,45
694,16474,10
695,3707,20
696,15398,Error Parsing Response
697,6559,Error Parsing Response
698,8635,Error Parsing Response
699,4031,25.36
700,25182,\\$2340
701,20759,12
702,3511,-400
703,ae2287e2,152
704,395,46.6'
705,13627,80
706,6897,72'
707,29900,5
708,9856,Error Parsing Response
709,3380,20
710,8565,60
711,12375,240
712,15617,Error Parsing Response
713,17992,Error Parsing Response
714,3105,25
715,21546,Error Parsing Response
716,17978,Error Parsing Response
717,16387,2\\frac{19
718,6070,8.6
719,16383,40
720,26472,Error Parsing Response
721,11523,Error Parsing Response
722,5887,32
723,3146,12
724,20727,14
725,3370,Error Parsing Response
726,5278,6
727,17602,84
728,14355,Error Parsing Response
729,4319,24
730,6920,2
731,27626,1
732,27106,Error Parsing Response
733,7827,Error Parsing Response
734,13272,9
735,28659,Error Parsing Response
736,25894,4
737,2206,144
738,17242,45
739,25030,36
740,6646,\\$1800
741,15852,200
742,7646,180
743,28484,Error Parsing Response
744,4317,3.1
745,16978,100
746,26039,90
747,17159,Error Parsing Response
748,17766,30
749,17223,2
750,9018,Error Parsing Response
751,8143,12.75
752,30130,Error Parsing Response
753,17469,\\$13.50
754,24024,96
755,24344,Error Parsing Response
756,22480,864
757,13,Error Parsing Response
758,6572,10
759,5013,72
760,8972,18
761,29865,36
762,25376,21
763,28365,299.833\\dots
764,23435,5
765,19100,5
766,12366,5
767,11417,Error Parsing Response
768,30346,10
769,17874,18
770,4907,\\frac{9
771,9268,150
772,8368,24
773,25707,Error Parsing Response
774,8440,1.7
775,25449,Error Parsing Response
776,30155,Error Parsing Response
777,16054,Error Parsing Response
778,26596,135
779,11249,10
780,23027,Error Parsing Response
781,27594,1.5
782,14431,Error Parsing Response
783,19710,Error Parsing Response
784,30177,Error Parsing Response
785,16065,12
786,9916,\\text{A
787,15168,Error Parsing Response
788,14843,Error Parsing Response
789,23764,4000
790,12228,Error Parsing Response
791,16763,12
792,18542,5
793,22937,Error Parsing Response
794,16034,80
795,26129,Error Parsing Response
796,1092,5
797,7219,480
798,17673,\\$16
799,29840,Error Parsing Response
800,12340,"\\$16\\text{,"
801,5856,\\text{S
802,17712,'
803,17696,5
804,18872,2.6
805,26897,Error Parsing Response
806,27736,Error Parsing Response
807,29273,Error Parsing Response
808,2303,110
809,3681,2
810,30710,\\$12
811,8908,63
812,16046,Error Parsing Response
813,4757,Error Parsing Response
814,7495,5
815,13711,\\$24
816,24367,Error Parsing Response
817,30646,\\text{Jungkook
818,5919,Error Parsing Response
819,7105,\\frac{1
820,15248,Error Parsing Response
821,6302,4
822,-5911204367685887429,3.5
823,29236,2
824,5284,6
825,21117,80
826,8012,Error Parsing Response
827,29995,5
828,21529,\\$18
829,156,816+681=\\text{1500
830,10848,49
831,18235,3000
832,5399,Error Parsing Response
833,5328,4
834,344,24
835,2920,7
836,9017,30
837,11658,\\frac{1
838,21054,\\$1000
839,6295,Error Parsing Response
840,24838,56
841,11657,Error Parsing Response
842,30156,306
843,4742,Error Parsing Response
844,15417,89\\%
845,17258,Error Parsing Response
846,23522,83
847,17379,\\$3.00
848,15520,\\$1.40
849,26605,95
850,10661,Error Parsing Response
851,6258,Error Parsing Response
852,19736,Error Parsing Response
853,14651,2
854,5068,Error Parsing Response
855,21463,9
856,26665,Error Parsing Response
857,b4a6ed81,9
858,606,256
859,28217,5
860,21909,2:1
861,7483,\\$0.50
862,4199,\\text{Cheolsu
863,13830,8
864,21214,6
865,14332,181
866,14834,Error Parsing Response
867,3305,\\frac{1
868,23730,Error Parsing Response
869,21524,0.1
870,15227,Error Parsing Response
871,29342,5
872,9099,""""
873,4491,0.52
874,87,45
875,22799,3
876,19428,18'
877,17332,Error Parsing Response
878,20825,\\frac{1
879,21055,42
880,21144,Error Parsing Response
881,10599,Error Parsing Response
882,7381,\\frac{4
883,18210,500
884,25519,"\\$1,\\!800"
885,3810,45
886,9895,330
887,7257,\\$260
888,9207,Error Parsing Response
889,8359,50
890,4045,30
891,1199,76
892,11030,6
893,514,Error Parsing Response
894,403,9
895,18885,Error Parsing Response
896,16783,12
897,16823,\\frac{1
898,16951,Error Parsing Response
899,15920,35
900,4469,\\text{Hohyeon
901,2923,12
902,8427,"20,000"
903,12116,37.5
904,8229,70
905,18114,647
906,1086,8
907,25970,144
908,12540,Error Parsing Response
909,6422,12
910,7399,100
911,14814,16
912,5125,Error Parsing Response
913,25298,5
914,23497,4
915,11400,\\frac{1
916,11791,3
917,22246,8
918,13450,Error Parsing Response
919,29052,4.5
920,13706,\\frac{3
921,23147,12
922,12820,60
923,6203,20
924,18537,Error Parsing Response
925,3753,52
926,12569,56
927,25047,Error Parsing Response
928,10115,\\$0.57
929,5262,15
930,9918,12
931,24752,Error Parsing Response
932,21037,10
933,19801,Error Parsing Response
934,206,2
935,630,9
936,12933,22
937,6891,8
938,1445,\\text{10
939,10020,5
940,4184,4
941,20453,32
942,4775,Error Parsing Response
943,29111,60
944,17429,14
945,4627212334712819274,1
946,30089,Error Parsing Response
947,10222,6
948,26972,Error Parsing Response
949,1566,1
950,26879,\\text{(A)
951,5845,17
952,30423,108
953,30311,\\$2.50
954,8435,Error Parsing Response
955,14968,14
956,30459,1
957,18054,3
958,11235,\\$87.50
959,14380,20
960,13700,Error Parsing Response
961,21319,Error Parsing Response
962,16121,Error Parsing Response
963,30662,-14
964,3084,-\\frac{1
965,18900,4
966,13291,2
967,25063,12
968,5694,\\text{B
969,25120,10
970,24672,25
971,4257,960
972,8892,3300
973,20690,13
974,27546,80
975,7689,Error Parsing Response
976,5702,24
977,6413,\\$476
978,19170,24000
979,23085,Error Parsing Response
980,25599,19.5
981,24027,28
982,12678,Error Parsing Response
983,2479,840
984,5553,19
985,11035,30.56
986,9234,\\$100
987,16786,8
988,2419,Error Parsing Response
989,20863,78
990,13104,96\\text{ cm
991,8329,Error Parsing Response
992,4639,Error Parsing Response
993,1752,1
994,785,15
995,27010,10
996,21561,1
997,20041,Error Parsing Response
998,3640,Error Parsing Response
999,15840,120
1000,22964,60
1001,4635,3
1002,19446,Error Parsing Response
1003,17742,31
1004,21896,307
1005,23721,Error Parsing Response
1006,math_problem_001,275
1007,17374,Error Parsing Response
1008,15078,Error Parsing Response
1009,2282,1112
1010,6876,3
1011,2361,Error Parsing Response
1012,20477,288
1013,18779,Error Parsing Response
1014,2621,Error Parsing Response
1015,8136,Error Parsing Response
1016,7950,Error Parsing Response
1017,6862,Error Parsing Response
1018,12011,Error Parsing Response
1019,16402,96
1020,25193,Error Parsing Response
1021,18412,4050
1022,14557,25
1023,15000,Error Parsing Response
1024,26431,260
1025,18494,6
1026,2795,Error Parsing Response
1027,26407,6
1028,22887,Error Parsing Response
1029,8670,Error Parsing Response
1030,7674,45
1031,13443,Error Parsing Response
1032,11089,Error Parsing Response
1033,14381,11
1034,5293,12
1035,19118,\\frac{1
1036,12749,\\$12500
1037,20894,4
1038,1083,7
1039,5161,41
1040,26696,16
1041,11970,340
1042,21881,\\frac{201
1043,3323,500
1044,20300,\\$4.00
1045,29867,Error Parsing Response
1046,-5141047701230918100,1000
1047,23123,21
1048,28419,\\$35
1049,30290,Error Parsing Response
1050,6753,Error Parsing Response
1051,26126,1
1052,7584,Error Parsing Response
1053,25409,\\frac{1
1054,14846,3
1055,5786,42
1056,27581,400
1057,30588,4800
1058,4212,1
1059,13201,\\$24
1060,9960,17
1061,25521,29
1062,21629,Error Parsing Response
1063,1090,4
1064,5515,100
1065,8058,47
1066,2791,100
1067,11541,10
1068,16411,\\frac{3
1069,23591,36
1070,24176,Error Parsing Response
1071,7425,Error Parsing Response
1072,12516,4.6
1073,26146,Error Parsing Response
1074,10579,\\$10
1075,19979,14-8=\\frac{6
1076,1315,141.59
1077,8899,5.56\\%
1078,25437,Error Parsing Response
1079,20847,4
1080,11223,Error Parsing Response
1081,4549,46
1082,15941,7200
1083,20023,Error Parsing Response
1084,12088,Error Parsing Response
1085,2053,1000
1086,25581,\\$8
1087,18447,12
1088,-2404000911469669622,864
1089,18523,8
1090,23976,1
1091,5138,Error Parsing Response
1092,12231,121
1093,13017,25
1094,23912,Error Parsing Response
1095,696,5400000
1096,9884,8
1097,5890,12
1098,426,20
1099,19427,\\text{Seokjin
1100,932,Error Parsing Response
1101,26359,40
1102,20793,10
1103,18078,5
1104,23190,6
1105,27824,Error Parsing Response
1106,13491,\\$1400
1107,7085,6
1108,3777,9.5
1109,25201,Error Parsing Response
1110,9004,6
1111,8399,Error Parsing Response
1112,10398,\\frac{6
1113,30330,Error Parsing Response
1114,10958,5.6
1115,18029,35
1116,7673,Error Parsing Response
1117,7652,Error Parsing Response
1118,28431,Error Parsing Response
1119,3017,850
1120,4544,4
1121,9469,115
1122,7500,50
1123,15473,10
1124,20792,500
1125,9964,Error Parsing Response
1126,25844,303
1127,4040,Error Parsing Response
1128,18138,32
1129,10511,Error Parsing Response
1130,2638,Error Parsing Response
1131,2767,4
1132,7283,4
1133,13388,Error Parsing Response
1134,4084,175
1135,1699,1.46
1136,2938,34
1137,30083,3
1138,943,4
1139,3700,1
1140,24719,25000000
1141,10103,Error Parsing Response
1142,435,Error Parsing Response
1143,16195,\\$5
1144,21265,Error Parsing Response
1145,18482,36
1146,26666,135
1147,2965,Error Parsing Response
1148,11072,1
1149,13735,0.0625
1150,8441,Error Parsing Response
1151,13116,23
1152,28410,Error Parsing Response
1153,19822,9
1154,737,Error Parsing Response
1155,10111,4
1156,25496,Error Parsing Response
1157,6976,8
1158,22645,1
1159,29450,Error Parsing Response
1160,15444,Error Parsing Response
1161,26523,Error Parsing Response
1162,24352,Error Parsing Response
1163,12680,Error Parsing Response
1164,24169,48
1165,25555,7
1166,10776,0.5
1167,1333,20
1168,7494,9
1169,19607,Error Parsing Response
1170,20382,2
1171,14052,Error Parsing Response
1172,4384,Error Parsing Response
1173,20671,800
1174,19556,60
1175,5186,20620
1176,3274,12
1177,24484,9
1178,23431,Error Parsing Response
1179,3645,Error Parsing Response
1180,21825,12.25
1181,22958,6
1182,5191,2.64
1183,15472,220
1184,10960,Error Parsing Response
1185,191,Error Parsing Response
1186,14590,90
1187,18208,33
1188,15822,39
1189,25452,Error Parsing Response
1190,2257,936
1191,24984,20
1192,8478,\\$5120
1193,735,4
1194,13198,7
1195,21350,Error Parsing Response
1196,15884,40
1197,-530621217939912428,77
1198,16357,60
1199,28037,329
1200,21510,30
1201,23747,5.25
1202,8159,Error Parsing Response
1203,17950,26
1204,25251,Error Parsing Response
1205,2942,15
1206,15899,425
1207,18965,\\frac{5
1208,2781,150
1209,8026,Error Parsing Response
1210,14027,Error Parsing Response
1211,22128,1000
1212,19938,15
1213,13665,10
1214,21826,190
1215,18026,10
1216,20421,\\frac{90
1217,26293,\\frac{19
1218,26324,Error Parsing Response
1219,11283,58'
1220,17298,22
1221,3450,1.4
1222,1252,21 - 8 + 1 = 14
1223,5420020718488859531,\\$100
1224,17343,Error Parsing Response
1225,1317,10
1226,22636,18
1227,692,40
1228,8181,113\\frac{1
1229,16307,24
1230,27941,5
1231,23711,Error Parsing Response
1232,14805,15
1233,6458,Error Parsing Response
1234,24525,8
1235,1170,\\text{A
1236,8637,Error Parsing Response
1237,47,Error Parsing Response
1238,2536,7
1239,331,3.1
1240,30343,196
1241,3736,Error Parsing Response
1242,20541,\\'
1243,19060,3
1244,12222,Error Parsing Response
1245,29603,9\\frac{2
1246,19572,Error Parsing Response
1247,13536,\\frac{7
1248,21741,55
1249,21592,4
1250,18423,\\text{Jungkook
1251,70,Error Parsing Response
1252,23602,215
1253,10563,1
1254,14486,Error Parsing Response
1255,4155,Error Parsing Response
1256,13546,6
1257,7235,25
1258,16001,20
1259,11900,2
1260,18492,Error Parsing Response
1261,7264,3
1262,23164,14
1263,24438,Error Parsing Response
1264,30376,140
1265,22927,Error Parsing Response
1266,5883,140
1267,2345,1.2
1268,20581,65
1269,15261,18\\sqrt{2
1270,9085,Error Parsing Response
1271,5830,Error Parsing Response
1272,13593,\\$120
1273,8804,300
1274,28239,36
1275,10211,47
1276,27959,3
1277,647,Error Parsing Response
1278,5144,\\text{Woong
1279,11579,\\frac{2
1280,15874,Error Parsing Response
1281,28036,14
1282,8944848564986159363,\\text{(A)
1283,12147,70
1284,29477,\\$65
1285,23370,Error Parsing Response
1286,23774,Error Parsing Response
1287,-8854815439966659557,13
1288,5327,1
1289,2338,5
1290,18758,Error Parsing Response
1291,26457,Error Parsing Response
1292,7847,12
1293,27616,Error Parsing Response
1294,30439,3
1295,17510,30
1296,26428,94
1297,20024,2
1298,18066,Error Parsing Response
1299,11132,0
1300,10363,Error Parsing Response
1301,15708,5
1302,7692,"1.33333333333333333333333333"""
1303,19787,5'
1304,3498389796535049410,Error Parsing Response
1305,19208,Error Parsing Response
1306,30223,\\frac{66
1307,24182,15
1308,29630,Error Parsing Response
1309,9063,8
1310,30775,109
1311,5286,9
1312,690,\\text{Cheolmin
1313,23823,250
1314,26213,26
1315,134,2
1316,17631,2
1317,20094,593
1318,23181,3
1319,6671,8
1320,15304,Error Parsing Response
1321,11024,Error Parsing Response
1322,20095,1000
1323,30364,3
1324,25476,Error Parsing Response
1325,8640,Error Parsing Response
1326,12440,Error Parsing Response
1327,3116,9
1328,27198,3
1329,19722,Error Parsing Response
1330,25789,7
1331,2716,6
1332,17239,30
1333,23717,4\\frac{58
1334,12860,20
1335,627,3
1336,26295,\\$4500
1337,17247,Error Parsing Response
1338,10433,10
1339,10276,390
1340,26074,Error Parsing Response
1341,4617,3
1342,24683,Error Parsing Response
1343,24754,Error Parsing Response
1344,18813,9
1345,17411,50
1346,26694,15
1347,30407,140
1348,21547,22
1349,8672,2
1350,7891,Error Parsing Response
1351,3110,90
1352,19124,3
1353,11268,Error Parsing Response
1354,17670,20
1355,8081,4
1356,28286,\\frac{3
1357,7573,15
1358,7514,Error Parsing Response
1359,29386,1
1360,5066,Error Parsing Response
1361,15434,28
1362,8958,150
1363,20161,Error Parsing Response
1364,7409,9
1365,3329,Error Parsing Response
1366,2486,93
1367,24937,216
