,row_index,level,type,llama3_is_correct,llama_solution,llema_is_correct,llema_solution,level:type,qwen_is_correct,qwen_solution,mistral_is_correct,mistral_solution,all_correct,all_incorrect,at_least_3_correct,at_least_2_correct,at_least_1_correct,all_agree
77,77,Level 4,Algebra,False,\frac{7}{8},False,,Level 4: Algebra,False,\frac{1}{5},False,Error Parsing Response,False,True,False,False,False,False
78,78,Level 5,Algebra,False,0.7,False,,Level 5: Algebra,False,0.29,False,0.6,False,True,False,False,False,False
80,80,Level 4,Algebra,False,297,False,,Level 4: Algebra,False,3300,False,Error Parsing Response,False,True,False,False,False,False
81,81,Level 4,Algebra,False,44/5,False,,Level 4: Algebra,False,-11,False,Error Parsing Response,False,True,False,False,False,False
82,82,Level 2,Algebra,False,15,False,,Level 2: Algebra,False,5,False,1234,False,True,False,False,False,False
85,85,Level 4,Algebra,False,Error Parsing Response,False,27,Level 4: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
91,91,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,81,False,8,False,True,False,False,False,False
95,95,Level 5,Algebra,False,5,False,,Level 5: Algebra,False,32,False,Error Parsing Response,False,True,False,False,False,False
99,99,Level 4,Algebra,False,\frac{3}{5},False,\frac{8,Level 4: Algebra,False,\dfrac{1}{3},False,\dfrac{8}{6},False,True,False,False,False,False
104,104,Level 5,Algebra,False,78,False,140,Level 5: Algebra,False,100,False,Error Parsing Response,False,True,False,False,False,False
106,106,Level 5,Algebra,False,2,False,,Level 5: Algebra,False,36,False,8.5,False,True,False,False,False,False
109,109,Level 5,Algebra,False,undefined,False,,Level 5: Algebra,False,4,False,Error Parsing Response,False,True,False,False,False,False
116,116,Level 5,Algebra,False,\frac{1}{7},False,,Level 5: Algebra,False,\frac{1}{7},False,Error Parsing Response,False,True,False,False,False,False
117,117,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,Error Parsing Response,False,"(1,5)",False,True,False,False,False,False
119,119,Level 5,Algebra,False,-p-a,False,2p,Level 5: Algebra,False,4,False,Error Parsing Response,False,True,False,False,False,False
121,121,Level 5,Algebra,False,-16,False,13,Level 5: Algebra,False,Error Parsing Response,False,-6,False,True,False,False,False,False
123,123,Level 3,Algebra,False,-\frac{5}{2},False,\frac{5,Level 3: Algebra,False,\frac{5}{6},False,Error Parsing Response,False,True,False,False,False,False
125,125,Level 5,Algebra,False,120,False,,Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
129,129,Level 5,Algebra,False,2009 \sqrt{2},False,,Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
130,130,Level 5,Algebra,False,-16,False,-1,Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
134,134,Level 5,Algebra,False,0,False,,Level 5: Algebra,False,-\frac{1}{4},False,Error Parsing Response,False,True,False,False,False,False
141,141,Level 3,Algebra,False,2,False,0,Level 3: Algebra,False,0,False,Error Parsing Response,False,True,False,False,False,False
143,143,Level 5,Algebra,False,32,False,,Level 5: Algebra,False,60,False,10\sqrt{7},False,True,False,False,False,False
147,147,Level 5,Algebra,False,"(-3,5)",False,,Level 5: Algebra,False,Error Parsing Response,False,"(6, 4)",False,True,False,False,False,False
150,150,Level 5,Algebra,False,\frac{56}{49},False,,Level 5: Algebra,False,\frac{2}{7},False,\frac{1}{0.918},False,True,False,False,False,False
151,151,Level 5,Algebra,False,2,False,,Level 5: Algebra,False,Error Parsing Response,False,\frac{5}{2},False,True,False,False,False,False
153,153,Level 3,Algebra,False,\frac{-1}{2},False,,Level 3: Algebra,False,-\frac{1}{2},False,\frac{5}{7},False,True,False,False,False,False
163,163,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,7,False,Error Parsing Response,False,True,False,False,False,False
164,164,Level 3,Algebra,False,-29+27i,False,-20 + 15i,Level 3: Algebra,False,-11+27i,False,Error Parsing Response,False,True,False,False,False,False
165,165,Level 4,Algebra,False,32,False,,Level 4: Algebra,False,46,False,Error Parsing Response,False,True,False,False,False,False
168,168,Level 2,Algebra,False,1.85,False,,Level 2: Algebra,False,Error Parsing Response,False,Carla,False,True,False,False,False,False
169,169,Level 5,Algebra,False,0,False,"(-\infty, -\frac{15",Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
171,171,Level 4,Algebra,False,\frac{1}{16384},False,,Level 4: Algebra,False,\frac{2187}{128},False,\frac{128}{2187},False,True,False,False,False,False
172,172,Level 3,Algebra,False,9,False,9,Level 3: Algebra,False,10,False,12,False,True,False,False,False,False
175,175,Level 2,Algebra,False,575,False,540,Level 2: Algebra,False,Error Parsing Response,False,570,False,True,False,False,False,False
177,177,Level 5,Algebra,False,3,False,3,Level 5: Algebra,False,\sqrt{5},False,3,False,True,False,False,False,False
178,178,Level 5,Algebra,False,\frac{1}{2},False,-2,Level 5: Algebra,False,\frac{11}{4},False,0,False,True,False,False,False,False
184,184,Level 5,Algebra,False,x,False,,Level 5: Algebra,False,\sqrt{x-3}+3,False,1,False,True,False,False,False,False
185,185,Level 3,Algebra,False,\dfrac{8}{33},False,-\dfrac{8,Level 3: Algebra,False,\dfrac{1}{33},False,-\dfrac{1}{9},False,True,False,False,False,False
186,186,Level 4,Algebra,False,\frac94,False,,Level 4: Algebra,False,\frac95,False,\frac{36}{5},False,True,False,False,False,False
187,187,Level 2,Algebra,False,123.33,False,47,Level 2: Algebra,False,85,False,145,False,True,False,False,False,False
188,188,Level 5,Algebra,False,3,False,\frac{3,Level 5: Algebra,False,3,False,1,False,True,False,False,False,False
189,189,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,b - \frac{1}{2},False,\frac{b}{2},False,True,False,False,False,False
196,196,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,36,False,60,False,True,False,False,False,False
200,200,Level 5,Algebra,False,945,False,,Level 5: Algebra,False,-12,False,28,False,True,False,False,False,False
203,203,Level 5,Algebra,False,22.5,False,45,Level 5: Algebra,False,30,False,22.5,False,True,False,False,False,False
207,207,Level 1,Algebra,False,\dfrac{16}{15},False,,Level 1: Algebra,False,\frac{24}{5},False,Error Parsing Response,False,True,False,False,False,False
208,208,Level 5,Algebra,False,0,False,,Level 5: Algebra,False,6,False,58,False,True,False,False,False,False
209,209,Level 5,Algebra,False,242,False,,Level 5: Algebra,False,15,False,Error Parsing Response,False,True,False,False,False,False
210,210,Level 4,Algebra,False,21,False,,Level 4: Algebra,False,91,False,75^\circ,False,True,False,False,False,False
213,213,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
215,215,Level 3,Algebra,False,\text{undefined},False,0,Level 3: Algebra,False,-156,False,9,False,True,False,False,False,False
216,216,Level 3,Algebra,False,Error Parsing Response,False,1,Level 3: Algebra,False,64,False,100,False,True,False,False,False,False
219,219,Level 2,Algebra,False,-4,False,-4,Level 2: Algebra,False,-4,False,-8,False,True,False,False,False,False
220,220,Level 4,Algebra,False,No real solutions,False,,Level 4: Algebra,False,-\frac{1}{7},False,Error Parsing Response,False,True,False,False,False,False
221,221,Level 4,Algebra,False,2,False,,Level 4: Algebra,False,-\frac{4}{5},False,Error Parsing Response,False,True,False,False,False,False
231,231,Level 4,Algebra,False,4,False,-1+4=\boxed{3,Level 4: Algebra,False,5,False,-3+5=2,False,True,False,False,False,False
235,235,Level 1,Algebra,False,972,False,4,Level 1: Algebra,False,972,False,972,False,True,False,False,False,False
239,239,Level 5,Algebra,False,30,False,,Level 5: Algebra,False,Error Parsing Response,False,\frac{1}{27},False,True,False,False,False,False
245,245,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,-3,False,Error Parsing Response,False,True,False,False,False,False
246,246,Level 3,Algebra,False,\frac{5}{4},False,\frac{135,Level 3: Algebra,False,\frac{4}{5},False,3,False,True,False,False,False,False
248,248,Level 3,Algebra,False,3420,False,,Level 3: Algebra,False,3700,False,12,False,True,False,False,False,False
255,255,Level 5,Algebra,False,\frac{9\sqrt{3}}{2},False,,Level 5: Algebra,False,9,False,-4.5,False,True,False,False,False,False
256,256,Level 3,Algebra,False,6r^2-4r,False,,Level 3: Algebra,False,6r^2 - 4r - 24,False,0,False,True,False,False,False,False
257,257,Level 5,Algebra,False,\frac{8}{3},False,,Level 5: Algebra,False,121,False,20,False,True,False,False,False,False
259,259,Level 3,Algebra,False,"\$16,\!200",False,\$5000,Level 3: Algebra,False,"15,000",False,"\$11,\!000",False,True,False,False,False,False
260,260,Level 3,Algebra,False,0,False,,Level 3: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
261,261,Level 5,Algebra,False,\frac{1}{1.3},False,\frac{7,Level 5: Algebra,False,\frac{1}{2},False,\frac{7}{6},False,True,False,False,False,False
267,267,Level 5,Algebra,False,2\sqrt{2},False,1.5,Level 5: Algebra,False,0,False,Error Parsing Response,False,True,False,False,False,False
268,268,Level 4,Algebra,False,24,False,,Level 4: Algebra,False,22.67,False,48,False,True,False,False,False,False
270,270,Level 4,Algebra,False,6,False,,Level 4: Algebra,False,Error Parsing Response,False,4,False,True,False,False,False,False
277,277,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,22,False,12,False,True,False,False,False,False
278,278,Level 3,Algebra,False,-1,False,5,Level 3: Algebra,False,0,False,10,False,True,False,False,False,False
282,282,Level 5,Algebra,False,4,False,,Level 5: Algebra,False,\frac{7}{4},False,4,False,True,False,False,False,False
285,285,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,Error Parsing Response,False,100,False,True,False,False,False,False
286,286,Level 3,Algebra,False,\$197,False,141,Level 3: Algebra,False,149,False,77,False,True,False,False,False,False
288,288,Level 5,Algebra,False,2010,False,,Level 5: Algebra,False,Error Parsing Response,False,1002,False,True,False,False,False,False
289,289,Level 2,Algebra,False,36,False,,Level 2: Algebra,False,36,False,Error Parsing Response,False,True,False,False,False,False
291,291,Level 5,Algebra,False,64,False,,Level 5: Algebra,False,Error Parsing Response,False,\dfrac{1}{1024},False,True,False,False,False,False
295,295,Level 4,Algebra,False,"\$90,000",False,,Level 4: Algebra,False,8403,False,"\$75,000",False,True,False,False,False,False
305,305,Level 4,Algebra,False,4901,False,,Level 4: Algebra,False,Error Parsing Response,False,298,False,True,False,False,False,False
306,306,Level 3,Algebra,False,"(-14,-4)",False,,Level 3: Algebra,False,"(-16, -4)",False,"(15,0)",False,True,False,False,False,False
307,307,Level 3,Algebra,False,4,False,,Level 3: Algebra,False,5\sqrt{30}-3,False,12\sqrt{3},False,True,False,False,False,False
308,308,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,(2x^2-1)(-8x^2-3x-1),False,(-16x^2-2x)(x^2+\frac{1}{8}),False,True,False,False,False,False
311,311,Level 2,Algebra,False,-\frac{3}{2},False,\frac{11,Level 2: Algebra,False,Error Parsing Response,False,-\frac{5}{4},False,True,False,False,False,False
316,316,Level 4,Algebra,False,\frac{9\sqrt{7}}{16},False,1,Level 4: Algebra,False,8\sqrt{14},False,14,False,True,False,False,False,False
331,331,Level 3,Algebra,False,\frac{\sqrt{2}}{3},False,\frac{\sqrt{6,Level 3: Algebra,False,\frac{\sqrt{6}}{3},False,\frac{\n\sqrt{2}}{\n\sqrt{3}},False,True,False,False,False,False
336,336,Level 5,Algebra,False,15,False,,Level 5: Algebra,False,Error Parsing Response,False,4,False,True,False,False,False,False
337,337,Level 4,Algebra,False,32,False,,Level 4: Algebra,False,32,False,32,False,True,False,False,False,False
338,338,Level 4,Algebra,False,6,False,,Level 4: Algebra,False,7,False,Error Parsing Response,False,True,False,False,False,False
342,342,Level 4,Algebra,False,0,False,0,Level 4: Algebra,False,0,False,-10,False,True,False,False,False,False
345,345,Level 5,Algebra,False,"\$15,\!250",False,"\$12,\!687.75",Level 5: Algebra,False,"16,386.16",False,"\$12,\!354.40625",False,True,False,False,False,False
346,346,Level 5,Algebra,False,1,False,,Level 5: Algebra,False,11,False,4,False,True,False,False,False,False
348,348,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,2,False,\frac{3}{2},False,True,False,False,False,False
350,350,Level 1,Algebra,False,10,False,0,Level 1: Algebra,False,Error Parsing Response,False,5,False,True,False,False,False,False
352,352,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,3,False,Error Parsing Response,False,True,False,False,False,False
355,355,Level 3,Algebra,False,-2,False,-2,Level 3: Algebra,False,-11x^4-7x^2-2x,False,-2,False,True,False,False,False,False
359,359,Level 4,Algebra,False,810,False,120,Level 4: Algebra,False,-153,False,56,False,True,False,False,False,False
361,361,Level 2,Algebra,False,1.5,False,12,Level 2: Algebra,False,18,False,1.5,False,True,False,False,False,False
362,362,Level 4,Algebra,False,\frac{1}{4},False,2,Level 4: Algebra,False,\frac{5}{4},False,\frac14,False,True,False,False,False,False
365,365,Level 3,Algebra,False,9400909,False,99939991,Level 3: Algebra,False,Error Parsing Response,False,9997 \cdot 9996 + 9997,False,True,False,False,False,False
366,366,Level 3,Algebra,False,\frac{1}{3},False,,Level 3: Algebra,False,\frac{1}{3},False,"(-2,-1)",False,True,False,False,False,False
371,371,Level 5,Algebra,False,Error Parsing Response,False,4,Level 5: Algebra,False,15,False,Error Parsing Response,False,True,False,False,False,False
376,376,Level 5,Algebra,False,Error Parsing Response,False,"(-\infty,-7) \cup (-7,3) \cup (3,\infty)",Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
378,378,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
379,379,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
380,380,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,Error Parsing Response,False,6,False,True,False,False,False,False
388,388,Level 3,Algebra,False,4,False,,Level 3: Algebra,False,1,False,4,False,True,False,False,False,False
390,390,Level 5,Algebra,False,20,False,,Level 5: Algebra,False,24,False,10,False,True,False,False,False,False
391,391,Level 3,Algebra,False,Error Parsing Response,False,,Level 3: Algebra,False,Error Parsing Response,False,10,False,True,False,False,False,False
392,392,Level 5,Algebra,False,0,False,,Level 5: Algebra,False,Error Parsing Response,False,12,False,True,False,False,False,False
394,394,Level 5,Algebra,False,\frac{1}{6},False,36,Level 5: Algebra,False,0,False,Error Parsing Response,False,True,False,False,False,False
397,397,Level 5,Algebra,False,\frac{1}{3},False,,Level 5: Algebra,False,\frac{3}{2},False,3,False,True,False,False,False,False
401,401,Level 4,Algebra,False,19,False,9,Level 4: Algebra,False,12,False,2,False,True,False,False,False,False
403,403,Level 4,Algebra,False,\frac{4}{3},False,\frac{4,Level 4: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
404,404,Level 4,Algebra,False,\frac{5}{2},False,\frac{1,Level 4: Algebra,False,\frac{1}{6},False,\frac{3x+2}{5},False,True,False,False,False,False
406,406,Level 5,Algebra,False,\$0.16,False,,Level 5: Algebra,False,118,False,100,False,True,False,False,False,False
407,407,Level 5,Algebra,False,1,False,,Level 5: Algebra,False,1,False,2,False,True,False,False,False,False
412,412,Level 5,Algebra,False,4x,False,2x,Level 5: Algebra,False,6x - 5,False,6x + 5,False,True,False,False,False,False
414,414,Level 3,Algebra,False,"1,-2",False,1,Level 3: Algebra,False,"-2,1",False,2,False,True,False,False,False,False
421,421,Level 5,Algebra,False,\frac{1}{5},False,,Level 5: Algebra,False,Error Parsing Response,False,\frac{1}{2},False,True,False,False,False,False
424,424,Level 4,Algebra,False,3,False,,Level 4: Algebra,False,\frac{3}{2},False,\frac{5}{2},False,True,False,False,False,False
427,427,Level 5,Algebra,False,18,False,10,Level 5: Algebra,False,-88,False,16,False,True,False,False,False,False
429,429,Level 3,Algebra,False,12\text{ p.m.},False,,Level 3: Algebra,False,7 p.m.,False,Error Parsing Response,False,True,False,False,False,False
432,432,Level 3,Algebra,False,2\sqrt{3},False,\frac{12,Level 3: Algebra,False,4,False,Error Parsing Response,False,True,False,False,False,False
434,434,Level 5,Algebra,False,0,False,-1,Level 5: Algebra,False,2,False,Error Parsing Response,False,True,False,False,False,False
437,437,Level 5,Algebra,False,-792,False,2710.71,Level 5: Algebra,False,Error Parsing Response,False,2703,False,True,False,False,False,False
439,439,Level 4,Algebra,False,6,False,,Level 4: Algebra,False,\frac{4}{3},False,Error Parsing Response,False,True,False,False,False,False
444,444,Level 4,Algebra,False,96i,False,-192,Level 4: Algebra,False,296i,False,Error Parsing Response,False,True,False,False,False,False
446,446,Level 4,Algebra,False,\frac{1}{4},False,0,Level 4: Algebra,False,\frac{1}{4},False,0,False,True,False,False,False,False
447,447,Level 5,Algebra,False,5^{24},False,,Level 5: Algebra,False,\frac{5^{48}}{4^{48}},False,Error Parsing Response,False,True,False,False,False,False
449,449,Level 5,Algebra,False,0.1,False,,Level 5: Algebra,False,Error Parsing Response,False,\frac{8}{2} = \boxed{4},False,True,False,False,False,False
457,457,Level 5,Algebra,False,64,False,-48,Level 5: Algebra,False,-198,False,160,False,True,False,False,False,False
458,458,Level 4,Algebra,False,1,False,\frac{50,Level 4: Algebra,False,\frac{1}{4},False,\frac{1}{1},False,True,False,False,False,False
460,460,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
465,465,Level 3,Algebra,False,Error Parsing Response,False,8,Level 3: Algebra,False,0,False,Error Parsing Response,False,True,False,False,False,False
466,466,Level 1,Algebra,False,1.5,False,,Level 1: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
468,468,Level 5,Algebra,False,Error Parsing Response,False,,Level 5: Algebra,False,-16,False,Error Parsing Response,False,True,False,False,False,False
469,469,Level 5,Algebra,False,1,False,,Level 5: Algebra,False,Error Parsing Response,False,1,False,True,False,False,False,False
470,470,Level 4,Algebra,False,-7,False,,Level 4: Algebra,False,\text{否},False,-3,False,True,False,False,False,False
474,474,Level 5,Algebra,False,216,False,,Level 5: Algebra,False,Error Parsing Response,False,-54,False,True,False,False,False,False
475,475,Level 5,Algebra,False,8,False,,Level 5: Algebra,False,7,False,11,False,True,False,False,False,False
478,478,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,Error Parsing Response,False,193x^3,False,True,False,False,False,False
479,479,Level 5,Algebra,False,1200.5,False,,Level 5: Algebra,False,137,False,\frac{137}{2},False,True,False,False,False,False
487,487,Level 3,Algebra,False,19,False,,Level 3: Algebra,False,-\frac{23}{2},False,\frac{3x + 3}{2},False,True,False,False,False,False
491,491,Level 3,Algebra,False,3,False,9,Level 3: Algebra,False,9,False,3,False,True,False,False,False,False
492,492,Level 4,Algebra,False,3,False,,Level 4: Algebra,False,4,False,4,False,True,False,False,False,False
503,503,Level 5,Algebra,False,"(-\infty,2)\cup(2,3)\cup(3,\infty)",False,"(-\infty,3)\cup(3,\infty)",Level 5: Algebra,False,"(-\infty,2)\cup(3,\infty)",False,"(2,\infty)",False,True,False,False,False,False
505,505,Level 3,Algebra,False,Error Parsing Response,False,,Level 3: Algebra,False,Error Parsing Response,False,-2x^2+5x-6,False,True,False,False,False,False
508,508,Level 4,Algebra,False,"-1,0",False,,Level 4: Algebra,False,"-2, 6",False,7,False,True,False,False,False,False
509,509,Level 3,Algebra,False,-117x^4,False,,Level 3: Algebra,False,-117x^4+189x^3+33x^2-11x-51,False,Error Parsing Response,False,True,False,False,False,False
512,512,Level 5,Algebra,False,-\frac{1}{2},False,,Level 5: Algebra,False,\frac{1}{2},False,Error Parsing Response,False,True,False,False,False,False
515,515,Level 5,Algebra,False,y=10x,False,,Level 5: Algebra,False,6x-5y=-50,False,y=-x+10,False,True,False,False,False,False
518,518,Level 3,Algebra,False,\frac{1}{2},False,-\frac{1,Level 3: Algebra,False,\frac{13}{31},False,Error Parsing Response,False,True,False,False,False,False
522,522,Level 4,Algebra,False,\frac{60\sqrt{624} - 13\sqrt{624}}{13},False,,Level 4: Algebra,False,Error Parsing Response,False,\frac{105}{13},False,True,False,False,False,False
524,524,Level 5,Algebra,False,\frac{a}{1-a},False,\frac{1,Level 5: Algebra,False,-a,False,f(a),False,True,False,False,False,False
526,526,Level 4,Algebra,False,440,False,,Level 4: Algebra,False,Error Parsing Response,False,99,False,True,False,False,False,False
530,530,Level 4,Algebra,False,Error Parsing Response,False,,Level 4: Algebra,False,Error Parsing Response,False,2,False,True,False,False,False,False
531,531,Level 5,Algebra,False,3,False,,Level 5: Algebra,False,-11,False,\frac{19}{26},False,True,False,False,False,False
535,535,Level 4,Algebra,False,9,False,,Level 4: Algebra,False,n,False,7,False,True,False,False,False,False
536,536,Level 3,Algebra,False,-\frac{2}{3},False,-\frac{2,Level 3: Algebra,False,-\frac{17}{12},False,-\frac{5}{24},False,True,False,False,False,False
537,537,Level 4,Algebra,False,\frac{15}{16},False,,Level 4: Algebra,False,\frac{49}{16},False,Error Parsing Response,False,True,False,False,False,False
541,541,Level 5,Algebra,False,10,False,,Level 5: Algebra,False,36,False,Error Parsing Response,False,True,False,False,False,False
548,548,Level 4,Algebra,False,11,False,9 - 2,Level 4: Algebra,False,3,False,14,False,True,False,False,False,False
549,549,Level 5,Algebra,False,\infty,False,,Level 5: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
551,551,Level 5,Algebra,False,9,False,,Level 5: Algebra,False,8,False,-\frac{1}{4},False,True,False,False,False,False
553,553,Level 5,Algebra,False,"(-\infty,-21)\cup(-\infty,-2)",False,"(-6,7)",Level 5: Algebra,False,"(-\infty,\infty)",False,Error Parsing Response,False,True,False,False,False,False
556,556,Level 5,Algebra,False,2,False,,Level 5: Algebra,False,3,False,1,False,True,False,False,False,False
558,558,Level 1,Algebra,False,\frac{9}{4},False,12,Level 1: Algebra,False,1,False,Error Parsing Response,False,True,False,False,False,False
559,559,Level 3,Algebra,False,\frac{6}{17},False,,Level 3: Algebra,False,6,False,2,False,True,False,False,False,False
565,565,Level 2,Algebra,False,34,False,85,Level 2: Algebra,False,Error Parsing Response,False,6,False,True,False,False,False,False
566,566,Level 3,Algebra,False,Error Parsing Response,False,,Level 3: Algebra,False,-10,False,Error Parsing Response,False,True,False,False,False,False
568,568,Level 5,Algebra,False,\frac{1}{12},False,,Level 5: Algebra,False,\frac{28}{43},False,Error Parsing Response,False,True,False,False,False,False
569,569,Level 3,Algebra,False,"-4,4",False,"-4,4",Level 3: Algebra,False,"-4,4",False,Error Parsing Response,False,True,False,False,False,False
570,570,Level 3,Algebra,False,"980\,121",False,998001,Level 3: Algebra,False,Error Parsing Response,False,Error Parsing Response,False,True,False,False,False,False
571,571,Level 5,Algebra,False,1,False,,Level 5: Algebra,False,Error Parsing Response,False,\infty,False,True,False,False,False,False
